Wall time,Step,Value
1741564710.8772686,2,1.8770331144332886
1741564712.1931849,3,2.7295444011688232
1741564717.3361492,6,1.2032935619354248
1741564718.602794,6,3.220842123031616
1741564719.672451,7,2.5880472660064697
1741564720.9224072,7,2.1865899562835693
1741564728.6171105,12,2.7013723850250244
1741564735.2273533,14,2.1431989669799805
1741564736.3313138,15,0.4332280457019806
1741564737.37119,15,1.656491756439209
1741564743.6571624,18,1.5691784620285034
1741564746.5491426,19,2.260010242462158
1741564755.508231,23,1.1154385805130005
1741564757.2335474,24,0.6510535478591919
1741564759.2649639,25,2.441528797149658
1741564775.0970168,32,2.4650092124938965
1741564776.3533537,33,1.4793672561645508
1741564797.5040805,44,2.8200979232788086
1741564801.1725178,46,2.1728360652923584
1741564811.230574,52,3.58530330657959
1741564814.642917,54,0.7976941466331482
1741564819.0433908,55,2.2910847663879395
1741564826.9463246,59,1.6212762594223022
1741564830.7769537,61,1.3143776655197144
1741564832.518166,62,1.5618692636489868
1741564836.8682017,63,4.759891033172607
1741564847.2571988,68,0.3033576011657715
1741564847.4983046,68,0.45907726883888245
1741564850.4647045,69,4.653833866119385
1741564852.8203433,70,1.00863516330719
1741564856.767058,72,1.926817774772644
1741564863.180648,74,1.5864547491073608
1741564870.1363742,77,1.8600244522094727
1741564870.850091,77,1.5686070919036865
1741564875.70154,79,0.5109708309173584
1741564878.082084,80,0.7319759130477905
1741564878.9191566,80,1.0156694650650024
1741564884.6801286,82,4.727793216705322
1741564892.6010098,86,0.46911126375198364
1741564893.8126733,87,2.9216973781585693
1741564900.590507,90,2.45548152923584
1741564904.915142,92,1.0971742868423462
1741564906.6710129,92,1.0598114728927612
1741564924.2301214,99,0.7944766283035278
1741564925.8683062,99,0.5957383513450623
1741564934.7430809,103,2.368835687637329
1741564935.9924035,103,2.6194968223571777
1741564937.1379962,104,3.898744583129883
1741564947.7734346,108,0.43912991881370544
1741564948.4653487,108,2.8991031646728516
1741564956.7942433,110,2.281665086746216
1741564960.7776096,110,2.2560737133026123
1741564963.3916557,111,2.750807762145996
1741564975.5971124,115,1.6513922214508057
1741564978.8503132,116,1.6485846042633057
1741565005.130804,127,1.2743942737579346
1741565012.934353,130,0.765905499458313
1741565015.2450645,131,1.797071099281311
1741565017.2210355,132,2.0153040885925293
1741565029.5439246,132,1.3897145986557007
1741565035.4952757,132,0.9483806490898132
1741565042.8251173,135,0.7294653654098511
1741565058.254168,141,1.4903185367584229
1741565063.2439528,143,1.472511649131775
1741565067.8258834,145,1.2313823699951172
1741565072.5242474,147,1.5046908855438232
1741565113.4243295,152,1.232624888420105
1741565115.653354,152,2.229905605316162
1741565117.504754,152,1.912103295326233
1741565124.297294,153,1.4786978960037231
1741565128.0692148,154,1.6784716844558716
1741565129.7247844,155,1.7577491998672485
1741565134.1759121,156,1.3059662580490112
1741565134.977007,156,2.6208200454711914
1741565139.091003,156,1.384965419769287
1741565139.1519556,156,1.4819499254226685
1741565140.6413941,156,1.1879945993423462
1741565145.2440307,156,1.6983184814453125
1741565146.5450518,156,1.583954095840454
1741565150.13017,156,1.4771102666854858
1741565161.033784,158,1.3468961715698242
1741565169.1302218,158,1.8510756492614746
